Reference area,Indicator,Subject,MEASURE,TIME_PERIOD,OBS_VALUE
Estonia,Gross domestic product (GDP),Total,Million US dollars,1994,8717.114
Estonia,Employment rate,Women,Thousand persons,1996,301
Estonia,Employment rate,Women,Thousand persons,1999,284.9
Estonia,Employment rate,Men,Thousand persons,1999,292.3
Estonia,Employment rate,Women,% of working age population,2008,66.6
Estonia,Employment rate,Men,% of working age population,2008,73.725
Estonia,Air pollution exposure,Exposure to PM2.5,% of population,2019,0
Korea,Purchasing power parities (PPP),Total,National currency units/US dollar,2002,769.77179
Estonia,Employment rate,Total,Thousand persons,1994,673.6
Estonia,Employment rate,Women,Thousand persons,1994,320.2
Estonia,Employment rate,Men,Thousand persons,1995,325.2
Estonia,Air pollution exposure,Exposure to PM2.5,Micrograms per cubic metre,1995,7.527
Latvia,Purchasing power parities (PPP),Total,National currency units/US dollar,2002,0.35409
Estonia,Employment rate,Women,Thousand persons,2003,297.675
Estonia,Employment rate,Men,Thousand persons,2003,305.275
Estonia,Average wages,Total,US dollars,2003,17131.06282
Latvia,Exchange rates,Total,National currency units/US dollar,2002,0.879607
Estonia,Gross domestic product (GDP),Total,Million US dollars,1998,11713.743
Estonia,Gross domestic product (GDP),Total,US dollars/capita,1998,8408.400587
Estonia,Employment rate,Women,Thousand persons,1998,297.1
Estonia,Employment rate,Men,Thousand persons,1998,307
Lithuania,Exchange rates,Total,National currency units/US dollar,2002,1.064921
Estonia,Gross domestic product (GDP),Total,US dollars/capita,1999,8479.421302
Estonia,Gross domestic product (GDP),Total,Million US dollars,1999,11694.818
Estonia,Average wages,Total,US dollars,2001,14756.02802
Lithuania,Purchasing power parities (PPP),Total,National currency units/US dollar,2002,0.41273
Estonia,GDP per hour worked,Total,US dollars,2001,22.388778
Estonia,Employment rate,Total,Thousand persons,2001,589.625
Luxembourg,Purchasing power parities (PPP),Total,National currency units/US dollar,2002,0.956996
Estonia,Gross domestic product (GDP),Total,US dollars/capita,2001,10283.34596
Estonia,Gross domestic product (GDP),Total,Million US dollars,2001,14321.616
Estonia,Employment rate,Women,% of working age population,2001,58.1
Estonia,GDP per hour worked,Total,2015=100,2001,64.075408
Estonia,Employment rate,Total,% of working age population,2022,76.425
Luxembourg,Exchange rates,Total,National currency units/US dollar,2002,1.057559
Estonia,Gross domestic product (GDP),Total,US dollars/capita,2022,48785.003
Estonia,Employment rate,Women,% of working age population,2022,75.35
Malta,Exchange rates,Total,National currency units/US dollar,2002,1.010064
Estonia,Employment rate,Women,Thousand persons,2022,337.375
Estonia,Employment rate,Men,Thousand persons,2022,343.45
Malta,Purchasing power parities (PPP),Total,National currency units/US dollar,2002,0.570773
Estonia,GDP per hour worked,Total,US dollars,2002,23.882277
Estonia,Employment rate,Total,Thousand persons,2002,589.875
Estonia,GDP per hour worked,Total,2015=100,2002,68.349719
Estonia,GDP per hour worked,Total,2015=100,2000,60.560492
Estonia,Average wages,Total,US dollars,2000,14253.99896
Estonia,Employment rate,Total,% of working age population,2000,60.275
Mexico,Exchange rates,Total,National currency units/US dollar,2002,9.655958
Mexico,Purchasing power parities (PPP),Total,National currency units/US dollar,2002,6.553697
Estonia,Gross domestic product (GDP),Total,US dollars/capita,2007,22163.54931
Estonia,Gross domestic product (GDP),Total,Million US dollars,2007,29763.43
Estonia,Employment rate,Women,% of working age population,2007,66.25
Estonia,GDP per hour worked,Total,2015=100,2007,91.72215
Estonia,Trust in government,Total,Percentage,2007,42.02641155
Estonia,Gender wage gap,Self-employed,Percentage,2007,-7.364863873
Estonia,Employment rate,Men,% of working age population,2007,73.475
Estonia,Employment rate,Total,% of working age population,2006,68.425
Morocco,Exchange rates,Total,National currency units/US dollar,2002,11.020583
Estonia,Gross domestic product (GDP),Total,Million US dollars,2006,26054.3
Estonia,Gross domestic product (GDP),Total,US dollars/capita,2006,19289.47954
Estonia,Employment rate,Women,% of working age population,2006,65.575
Estonia,Employment rate,Women,Thousand persons,2006,321.975
Estonia,Employment rate,Men,Thousand persons,2006,329.7
Estonia,Employment rate,Men,% of working age population,2005,66.725
Estonia,Employment rate,Total,% of working age population,2005,64.825
Estonia,GDP per hour worked,Total,2015=100,2008,88.552101
Estonia,Trust in government,Total,Percentage,2008,33.09790032
Estonia,Gender wage gap,Self-employed,Percentage,2008,-23.14301491
Estonia,Average wages,Total,US dollars,2008,25382
Morocco,Purchasing power parities (PPP),Total,National currency units/US dollar,2002,3.965106
Netherlands,Exchange rates,Total,National currency units/US dollar,2002,1.057559
Estonia,GDP per hour worked,Total,US dollars,2004,26.791231
Netherlands,Purchasing power parities (PPP),Total,National currency units/US dollar,2002,0.900863
Estonia,GDP per hour worked,Total,US dollars,2010,33.275193
Estonia,Employment rate,Total,Thousand persons,2010,567.975
Estonia,Gender wage gap,Employees,Percentage,2010,27.79783394
Estonia,GDP per hour worked,Total,2015=100,2010,95.231714
Estonia,Gender wage gap,Self-employed,Percentage,2010,-30.37996864
Estonia,Gross domestic product (GDP),Total,Million US dollars,2021,59955.001
Estonia,Employment rate,Men,% of working age population,2021,75.6
Estonia,Employment rate,Total,% of working age population,2021,74
Estonia,Average wages,Total,US dollars,2009,24704
New Zealand,Exchange rates,Total,National currency units/US dollar,2002,2.162191
Estonia,GDP per hour worked,Total,US dollars,2009,31.593052
Estonia,Employment rate,Total,Thousand persons,2009,593.875
New Zealand,Purchasing power parities (PPP),Total,National currency units/US dollar,2002,1.468962
Estonia,Gross domestic product (GDP),Total,US dollars/capita,2009,20459.10207
Estonia,Employment rate,Women,% of working age population,2009,64.05
Estonia,GDP per hour worked,Total,2015=100,2009,90.417521
Estonia,Trust in government,Total,Percentage,2009,22.44861318
Estonia,Air pollution exposure,Exposure to PM2.5,% of population,2012,1.871
Estonia,Employment rate,Women,Thousand persons,2012,305.525
Estonia,Employment rate,Men,Thousand persons,2012,309.375
Estonia,Air pollution exposure,Exposure to PM2.5,Micrograms per cubic metre,2012,7.524
Estonia,Gross domestic product (GDP),Total,Million US dollars,2012,34384.891
Estonia,Employment rate,Men,% of working age population,2012,69.725
North Macedonia,Exchange rates,Total,National currency units/US dollar,2002,64.349792
Estonia,GDP per hour worked,Total,US dollars,2012,33.827583
Estonia,Employment rate,Total,Thousand persons,2012,614.925
North Macedonia,Purchasing power parities (PPP),Total,National currency units/US dollar,2002,19.6345
Estonia,Gross domestic product (GDP),Total,US dollars/capita,2015,29222.74808
Estonia,Employment rate,Women,% of working age population,2015,69.4
Estonia,Gender wage gap,Self-employed,Percentage,2015,-19.22379303
Estonia,Air pollution exposure,Exposure to PM2.5,Micrograms per cubic metre,2015,6.617
Estonia,Gross domestic product (GDP),Total,Million US dollars,2015,38378.235
Estonia,Employment rate,Men,% of working age population,2015,74.8
Estonia,GDP per hour worked,Total,2015=100,2015,100
Estonia,Air pollution exposure,Exposure to PM2.5,% of population,2011,1.871
Estonia,Employment rate,Women,Thousand persons,2011,300.475
Estonia,Employment rate,Men,Thousand persons,2011,302.725
Estonia,Trust in government,Total,Percentage,2011,41.754021
Estonia,Average wages,Total,US dollars,2011,23907
Estonia,Employment rate,Women,Thousand persons,2019,325.275
Estonia,Employment rate,Men,Thousand persons,2019,346.075
Estonia,Trust in government,Total,Percentage,2019,40.33065368
Estonia,Gender wage gap,Employees,Percentage,2019,23.17204532
Estonia,Average wages,Total,US dollars,2019,33006
Estonia,Trust in government,Total,Percentage,2017,40.59462528
Estonia,Average wages,Total,US dollars,2017,29500
Norway,Exchange rates,Total,National currency units/US dollar,2002,7.983779
Estonia,GDP per hour worked,Total,US dollars,2017,36.924931
Estonia,Employment rate,Total,Thousand persons,2017,658.575
Norway,Purchasing power parities (PPP),Total,National currency units/US dollar,2002,9.05673
Estonia,Gross domestic product (GDP),Total,US dollars/capita,2017,33867.80354
Estonia,Employment rate,Women,% of working age population,2017,72.475
Estonia,GDP per hour worked,Total,2015=100,2017,105.677056
Poland,Purchasing power parities (PPP),Total,National currency units/US dollar,2002,1.799795
Estonia,GDP per hour worked,Total,US dollars,2018,39.328419
Estonia,Employment rate,Total,Thousand persons,2018,664.75
Estonia,GDP per hour worked,Total,2015=100,2018,112.555701
Estonia,Gender wage gap,Self-employed,Percentage,2018,-15.17355156
Estonia,Trust in government,Total,Percentage,2018,42.0202571
Estonia,Air pollution exposure,Exposure to PM2.5,Micrograms per cubic metre,2013,7.587
Estonia,Gross domestic product (GDP),Total,Million US dollars,2013,36198.154
Estonia,Employment rate,Men,% of working age population,2013,71.4
Estonia,Employment rate,Total,% of working age population,2013,69.175
Estonia,Air pollution exposure,Exposure to PM2.5,% of population,2013,1.871
Estonia,Gross domestic product (GDP),Total,Million US dollars,2020,53309.194
Estonia,Employment rate,Men,% of working age population,2020,75.875
Poland,Exchange rates,Total,National currency units/US dollar,2002,4.080033
Estonia,GDP per hour worked,Total,US dollars,2020,42.94026
Estonia,GDP per hour worked,Total,2015=100,2016,102.659699
Estonia,Gender wage gap,Self-employed,Percentage,2016,-5.487162113
Estonia,Trust in government,Total,Percentage,2016,33.98342922
Estonia,Average wages,Total,US dollars,2016,28837
Estonia,Employment rate,Total,% of working age population,2016,72.4
Portugal,Exchange rates,Total,National currency units/US dollar,2002,1.057559
Estonia,Gender wage gap,Employees,Percentage,2014,28.33935018
Estonia,Employment rate,Total,% of working age population,2014,70.225
Portugal,Purchasing power parities (PPP),Total,National currency units/US dollar,2002,0.672081
Estonia,Gross domestic product (GDP),Total,US dollars/capita,2014,28917.83366
Estonia,Employment rate,Women,% of working age population,2014,67.525
Estonia,Air pollution exposure,Exposure to PM2.5,% of population,2014,5.309
Estonia,Employment rate,Women,Thousand persons,2014,304.775
Estonia,Employment rate,Men,Thousand persons,2014,320.05
Estonia,Air pollution exposure,Exposure to PM2.5,Micrograms per cubic metre,2014,8.177
Estonia,Employment rate,Men,Thousand persons,1996,316
Estonia,Employment rate,Total,Thousand persons,1996,617
Estonia,Employment rate,Women,Thousand persons,2020,318.7
Estonia,Employment rate,Men,Thousand persons,2020,337.875
Estonia,Employment rate,Total,Thousand persons,2020,656.6
Estonia,Employment rate,Total,% of working age population,2008,70.075
Estonia,Employment rate,Women,Thousand persons,2004,300.775
Estonia,Employment rate,Men,Thousand persons,2004,301.15
Estonia,Employment rate,Men,% of working age population,2004,65.675
Estonia,Employment rate,Total,Thousand persons,2004,601.9
Finland,Air pollution exposure,Exposure to PM2.5,% of population,2017,0
Finland,Gross domestic product (GDP),Total,US dollars/capita,1994,18466.45656
Finland,Employment rate,Women,Thousand persons,1994,995
Finland,Employment rate,Total,Thousand persons,1994,2045
Finland,Employment rate,Men,Thousand persons,1994,1050
Finland,GDP per hour worked,Total,2015=100,2022,106.071557
Finland,Gross domestic product (GDP),Total,Million US dollars,2022,348748.936
Finland,Average wages,Total,US dollars,1995,39377
Romania,Exchange rates,Total,National currency units/US dollar,2002,3.305543
Finland,GDP per hour worked,Total,2015=100,1998,81.054584
Finland,Average wages,Total,US dollars,1996,40279.37664
Romania,Purchasing power parities (PPP),Total,National currency units/US dollar,2002,0.959747
Finland,Gender wage gap,Employees,Percentage,1996,20.58266966
Russia,Purchasing power parities (PPP),Total,National currency units/US dollar,2002,9.273504
Finland,GDP per hour worked,Total,US dollars,1999,49.182815
Finland,GDP per hour worked,Total,US dollars,2000,51.312409
Finland,Employment rate,Total,% of working age population,2000,67.15
Finland,Gross domestic product (GDP),Total,Million US dollars,2000,138660.875
Finland,Average wages,Total,US dollars,2003,44359.35125
Russia,Exchange rates,Total,National currency units/US dollar,2002,31.348483
Finland,Average wages,Total,US dollars,2004,45807.9322
Saudi Arabia,Exchange rates,Total,National currency units/US dollar,2002,3.75
Finland,Gender wage gap,Employees,Percentage,2004,20.01515104
Finland,Gross domestic product (GDP),Total,US dollars/capita,2002,28605.12292
Finland,Employment rate,Women,Thousand persons,2002,1143.7
Finland,Employment rate,Total,Thousand persons,2002,2372.35
Finland,Employment rate,Men,Thousand persons,2002,1228.6
Finland,GDP per hour worked,Total,2015=100,2006,98.01956
Finland,Gender wage gap,Self-employed,Percentage,2006,39.51993942
Finland,Gross domestic product (GDP),Total,Million US dollars,2006,181448.725
Finland,Gross domestic product (GDP),Total,Million US dollars,2001,144246.877
Finland,Employment rate,Men,% of working age population,2001,70.825
Finland,Gross domestic product (GDP),Total,US dollars/capita,2001,27803.94699
Finland,Air pollution exposure,Exposure to PM2.5,% of population,2005,1.708
Finland,Gross domestic product (GDP),Total,Million US dollars,2007,200161.833
Saudi Arabia,Purchasing power parities (PPP),Total,National currency units/US dollar,2002,0.867243
Finland,GDP per hour worked,Total,US dollars,2007,60.034517
Finland,Employment rate,Men,% of working age population,2009,68.625
Finland,Gross domestic product (GDP),Total,US dollars/capita,2009,37970.95232
Finland,Gross domestic product (GDP),Total,US dollars/capita,2010,38949.38509
Finland,Employment rate,Women,Thousand persons,2010,1188.425
Finland,Employment rate,Total,Thousand persons,2010,2447.475
Finland,Employment rate,Men,Thousand persons,2010,1259.075
Finland,Average wages,Total,US dollars,2012,49965
Serbia,Purchasing power parities (PPP),Total,National currency units/US dollar,2002,19.970582
